Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
949,Aerin Lauder,$3.1 B,down arrow,52.0,United States,Estee Lauder,Fashion & Retail,3.1
949,Sheldon Lavin,$3.1 B,up arrow,90.0,United States,Meat processing,Food & Beverage,3.1
949,Yin Yee Lee,$3.1 B,down arrow,71.0,China,Glass,Manufacturing,3.1
949,Vladimir Litvinenko & family,$3.1 B,list returnee,67.0,Russia,Chemical industry,Manufacturing,3.1
949,Daniel Mate,$3.1 B,down arrow,59.0,Spain,"Mining, commodities",Metals & Mining,3.1
949,Ravi Modi,$3.1 B,up arrow,46.0,India,Readymade garments,Fashion & Retail,3.1
949,Farhad Moshiri,$3.1 B,up arrow,67.0,United Kingdom,Diversified,Diversified,3.1
949,Jonathan Nelson,$3.1 B,up arrow,66.0,United States,Private equity,Finance & Investments,3.1
949,Or Wai Sheun,$3.1 B,down arrow,71.0,Hong Kong,Real estate,Real Estate,3.1
949,Katharina Otto-Bernstein,$3.1 B,down arrow,59.0,Germany,Real estate,Real Estate,3.1
949,Sergei Popov,$3.1 B,unchanged,51.0,Russia,Banking,Finance & Investments,3.1
949,Penny Pritzker,$3.1 B,down arrow,63.0,United States,"Hotels, investments",Finance & Investments,3.1
949,Theodore Rachmat,$3.1 B,down arrow,79.0,Indonesia,Diversified,Diversified,3.1
949,Renzo Rosso & family,$3.1 B,down arrow,67.0,Italy,Fashion,Fashion & Retail,3.1
949,Friede Springer,$3.1 B,down arrow,80.0,Germany,Publishing,Media & Entertainment,3.1
949,Rita Tong Liu,$3.1 B,down arrow,74.0,Hong Kong,Real estate,Real Estate,3.1
949,Timur Turlov,$3.1 B,up arrow,35.0,Kazakhstan,Stock brokerage,Finance & Investments,3.1
949,Frank VanderSloot,$3.1 B,up arrow,74.0,United States,"Nutrition, wellness products",Fashion & Retail,3.1
949,Yoo Jung-hyun,$3.1 B,up arrow,53.0,South Korea,Online games,Media & Entertainment,3.1
982,Abdulla bin Ahmad Al Ghurair & family,$3 B,up arrow,,United Arab Emirates,Diversified,Diversified,3.0
982,Semahat Sevim Arsel,$3 B,up arrow,94.0,Turkey,Diversified,Diversified,3.0
982,Nicolas Berggruen,$3 B,up arrow,61.0,United States,"Real estate, investments",Real Estate,3.0
982,George Bishop,$3 B,up arrow,85.0,United States,Oil & gas,Energy,3.0
982,Norman Braman,$3 B,up arrow,90.0,United States,"Art, car dealerships",Automotive,3.0
982,Eva Maria Bucher-Haefner,$3 B,unchanged,66.0,Switzerland,"Software, investments",Technology,3.0
982,Cai Dongchen,$3 B,down arrow,70.0,China,Pharmaceuticals,Healthcare,3.0
982,Jean-Pierre Cayard,$3 B,up arrow,80.0,France,Spirits,Food & Beverage,3.0
982,Chan Tan Ching-fen,$3 B,down arrow,,Hong Kong,Real estate,Real Estate,3.0
982,Todd Christopher,$3 B,unchanged,60.0,United States,Hair care products,Fashion & Retail,3.0
982,Mang Yee Chu & family,$3 B,down arrow,63.0,China,Real estate,Real Estate,3.0
982,"William Conway, Jr.",$3 B,down arrow,73.0,United States,Private equity,Finance & Investments,3.0
982,Jean Coutu & family,$3 B,down arrow,95.0,Canada,Drugstores,Fashion & Retail,3.0
982,Catheline Perier D'Ieteren,$3 B,new to list,78.0,Belgium,"Auto parts, distribution",Automotive,3.0
982,"Edward DeBartolo, Jr.",$3 B,up arrow,76.0,United States,Shopping centers,Real Estate,3.0
982,Stephen Deckoff,$3 B,new to list,57.0,United States,Private equity,Finance & Investments,3.0
982,Feng Hailiang,$3 B,up arrow,62.0,China,"Copper, education",Metals & Mining,3.0
982,"Ernest Garcia, II.",$3 B,down arrow,65.0,United States,Used cars,Automotive,3.0
982,Sam Goi,$3 B,up arrow,76.0,Singapore,Frozen foods,Food & Beverage,3.0
