Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
239,"Chase Coleman, III.",$8.5 B,down arrow,47.0,United States,Investments,Finance & Investments,8.5
239,Ann Walton Kroenke,$8.5 B,down arrow,74.0,United States,Walmart,Fashion & Retail,8.5
239,Li Zhenguo & family,$8.5 B,down arrow,55.0,China,Solar wafers and modules,Manufacturing,8.5
242,Jim Kennedy,$8.4 B,up arrow,75.0,United States,"Media, automotive",Media & Entertainment,8.4
242,Nicky Oppenheimer & family,$8.4 B,down arrow,77.0,South Africa,Diamonds,Metals & Mining,8.4
242,Blair Parry-Okeden,$8.4 B,up arrow,72.0,United States,"Media, automotive",Media & Entertainment,8.4
242,Zheng Shuliang & family,$8.4 B,down arrow,77.0,China,Aluminum products,Metals & Mining,8.4
246,John Morris,$8.3 B,up arrow,75.0,United States,Sporting goods retail,Fashion & Retail,8.3
246,Stefano Pessina,$8.3 B,down arrow,81.0,Monaco,Drugstores,Fashion & Retail,8.3
246,Francine von Finck & family,$8.3 B,down arrow,,Germany,Investments,Finance & Investments,8.3
249,Francis Choi,$8.2 B,up arrow,75.0,Hong Kong,Real estate,Real Estate,8.2
249,German Khan,$8.2 B,up arrow,61.0,Russia,"Oil, banking, telecom",Energy,8.2
249,Abdulsamad Rabiu,$8.2 B,up arrow,62.0,Nigeria,"Cement, sugar",Diversified,8.2
249,George Roberts,$8.2 B,up arrow,79.0,United States,Private equity,Finance & Investments,8.2
249,Kushal Pal Singh,$8.2 B,down arrow,91.0,India,Real estate,Real Estate,8.2
249,Wang Jianlin,$8.2 B,down arrow,68.0,China,Real estate,Real Estate,8.2
249,Yang Huiyan & family,$8.2 B,down arrow,41.0,China,Real estate,Real Estate,8.2
256,Laurent Dassault,$8.1 B,down arrow,69.0,France,Diversified,Diversified,8.1
256,Thierry Dassault,$8.1 B,down arrow,66.0,France,Diversified,Diversified,8.1
256,Tilman Fertitta,$8.1 B,up arrow,65.0,United States,"Houston Rockets, entertainment",Food & Beverage,8.1
256,Marie-Hélène Habert-Dassault,$8.1 B,down arrow,58.0,France,Diversified,Diversified,8.1
256,Karel Komarek,$8.1 B,up arrow,54.0,Czech Republic,"Oil and gas, IT, lotteries",Gambling & Casinos,8.1
261,Nathan Blecharczyk,$8 B,down arrow,39.0,United States,Airbnb,Technology,8.0
261,Leonid Fedun,$8 B,up arrow,66.0,Russia,Oil,Energy,8.0
261,Bernard Marcus,$8 B,down arrow,93.0,United States,Home Depot,Fashion & Retail,8.0
261,Patrick Ryan,$8 B,unchanged,85.0,United States,Insurance,Finance & Investments,8.0
261,Robert F. Smith,$8 B,up arrow,60.0,United States,Private equity,Finance & Investments,8.0
261,Pavel Tykac,$8 B,up arrow,58.0,Czech Republic,Coal mines,Metals & Mining,8.0
261,Eric Wittouck,$8 B,down arrow,76.0,Belgium,Investments,Finance & Investments,8.0
268,Orlando Bravo,$7.9 B,up arrow,52.0,United States,Private equity,Finance & Investments,7.9
268,Ding Shizhong,$7.9 B,up arrow,52.0,China,Sports apparel,Fashion & Retail,7.9
268,Nancy Walton Laurie,$7.9 B,down arrow,71.0,United States,Walmart,Fashion & Retail,7.9
268,Jay Y. Lee,$7.9 B,down arrow,54.0,South Korea,Samsung,Technology,7.9
